5C	20
CAGE	122
ChIA-PET	8
ChIP-seq	2142
Combined	35
DNA-PET	12
DNase-DGF	68
DNase-seq	318
Exon Array	273
FAIRE-seq	64
GENCODE	7
Genotype	68
Integ Cluster	1
Mappability	16
Methyl Array	128
Methyl RRBS	95
Methyl WGBS	2
Methyl-seq	40
Negative Regulatory Elements	2
Nucleosome	3
ORChID	2
Proteogenomics	14
RIP Gene ST	48
RIP Tiling Array	8
RIP Validation	2
RIP-chip	7
RIP-seq	8
RNA-PET	52
RNA-chip	52
RNA-seq	418
Repli-chip	9
Repli-seq	15
TFBS Validation	1
